Ungler1-03 001:00035 [l*];file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=00272,00354,00026,00046&page=001;+ Ungler1-03.djvu p 1 x 272 y 354 h 26 w 46;※ 0_Ungler1-03_PT03_114.djvu 00037 (37) new
Ungler1-03 001:00045 [e];file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=625,341,48,73&page=1;+# Ungler1-03.djvu p 1 x 638 y 365 h 39 w 27;※ 0_Ungler1-03_PT03_114.djvu 00047 (47) add
Ungler1-03 001:00048 [Ü];file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=752,344,43,69&page=1;+# Ungler1-03.djvu p 1 x 758 y 355 h 30 w 41;※ 0_Ungler1-03_PT03_114.djvu 00050 (50) new
Ungler1-03 001:00053 [e];file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=00917,00346,00020,00043&page=001;+ Ungler1-03.djvu p 1 x 917 y 346 h 20 w 43;※ 0_Ungler1-03_PT03_114.djvu 00055 (55) new
Ungler1-03 001:00097 [p];file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=505,239,38,67&page=1;+# Ungler1-03.djvu p 1 x 508 y 265 h 43 w 28;※ 0_Ungler1-03_PT03_114.djvu 00099 (99) add
Ungler1-03 001:00098 [P];file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=00564,00253,00034,00041&page=001;+ Ungler1-03.djvu p 1 x 564 y 253 h 34 w 41;※ 0_Ungler1-03_PT03_114.djvu 00100 (100) new
Ungler1-03 001:00099 [je];file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=00627,00254,00047,00046&page=001;+ Ungler1-03.djvu p 1 x 627 y 254 h 47 w 46;※ 0_Ungler1-03_PT03_114.djvu 00101 (101) new
Ungler1-03 001:00101 [ID];file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=699,240,63,78&page=1;+# Ungler1-03.djvu p 1 x 706 y 252 h 50 w 43;※ 0_Ungler1-03_PT03_114.djvu 00103 (103) new
Ungler1-03 001:00112 [Qp];file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=01073,00256,00038,00040&page=001;+ Ungler1-03.djvu p 1 x 1073 y 256 h 38 w 40;※ 0_Ungler1-03_PT03_114.djvu 00114 (114) new
Ungler1-03 001:00113 [qu];file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=01139,00256,00040,00044&page=001;+ Ungler1-03.djvu p 1 x 1139 y 256 h 40 w 44;※ 0_Ungler1-03_PT03_114.djvu 00115 (115) new
Ungler1-03 001:00114 [qu];file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=1206,246,47,70&page=1;+# Ungler1-03.djvu p 1 x 1210 y 256 h 42 w 41;※ 0_Ungler1-03_PT03_114.djvu 00116 (116) add
Ungler1-03 001:00126 [P];file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=01644,00272,00025,00045&page=001;+ Ungler1-03.djvu p 1 x 1644 y 272 h 25 w 45;※ 0_Ungler1-03_PT03_114.djvu 00128 (128) new
Ungler1-03 001:00127 [[5];file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=01697,00272,00040,00046&page=001;+ Ungler1-03.djvu p 1 x 1697 y 272 h 40 w 46;※ 0_Ungler1-03_PT03_114.djvu 00129 (129) new
Ungler1-03 001:00128 [fo];file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=01763,00270,00045,00048&page=001;+ Ungler1-03.djvu p 1 x 1763 y 270 h 45 w 48;※ 0_Ungler1-03_PT03_114.djvu 00130 (130) new
Ungler1-03 001:00144 [Le];file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=00587,00166,00030,00042&page=001;+ Ungler1-03.djvu p 1 x 587 y 166 h 30 w 42;※ 0_Ungler1-03_PT03_114.djvu 00146 (146) new
Ungler1-03 001:00155 [^,];file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=01034,00162,00029,00042&page=001;+ Ungler1-03.djvu p 1 x 1034 y 162 h 29 w 42;※ 0_Ungler1-03_PT03_114.djvu 00157 (157) new
Ungler1-03 001:00156 [y (];file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=01093,00171,00027,00031&page=001;+ Ungler1-03.djvu p 1 x 1093 y 171 h 27 w 31;※ 0_Ungler1-03_PT03_114.djvu 00158 (158) new
Ungler1-03 001:00157 [X];file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=01150,00160,00032,00043&page=001;+ Ungler1-03.djvu p 1 x 1150 y 160 h 32 w 43;※ 0_Ungler1-03_PT03_114.djvu 00159 (159) new
Ungler1-03 001:00158 [9];file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=1211,162,27,58&page=1;+# Ungler1-03.djvu p 1 x 1216 y 185 h 20 w 32;※ 0_Ungler1-03_PT03_114.djvu 00160 (160) new
Ungler1-03 001:00161 [,];file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=01382,00149,00028,00072&page=001;+ Ungler1-03.djvu p 1 x 1382 y 149 h 28 w 72;※ 0_Ungler1-03_PT03_114.djvu 00163 (163) new
Ungler1-03;file:../../DjVu/Ungler1-03.djvu?djvuopts=&highlight=686,347,54,62&page=1;+;
