eogon Haller-11 001:00065 [ENP];file:../../DjVu/Haller-11.djvu?djvuopts=&highlight=595,350,42,72&page=1;eogon+# Haller-11.djvu p 1 x 600 y 377 h 32 w 26;※ 0_Haller-11_PT04_174.djvu 00067 (67) add
lhighstrok Haller-11 001:00083 [r];file:../../DjVu/Haller-11.djvu?djvuopts=&highlight=01021,00378,00027,00051&page=001;lhighstrok+ Haller-11.djvu p 1 x 1021 y 378 h 27 w 51;※ 0_Haller-11_PT04_174.djvu 00085 (85) new
pbardes Haller-11 001:00100 [APOEF];file:../../DjVu/Haller-11.djvu?djvuopts=&highlight=1532,357,44,66&page=1;pbardes+# Haller-11.djvu p 1 x 1540 y 384 h 49 w 32;※ 0_Haller-11_PT04_174.djvu 00102 (102) add
pflour Haller-11 001:00102 [p];file:../../DjVu/Haller-11.djvu?djvuopts=&highlight=1581,358,49,63&page=1;pflour+# Haller-11.djvu p 1 x 1590 y 367 h 36 w 51;※ 0_Haller-11_PT04_174.djvu 00104 (104) new
qbardes Haller-11 001:00109 [€]];file:../../DjVu/Haller-11.djvu?djvuopts=&highlight=00061,00251,00036,00050&page=001;qbardes+ Haller-11.djvu p 1 x 61 y 251 h 36 w 50;※ 0_Haller-11_PT04_174.djvu 00111 (111) new
qbardes&ra Haller-11 001:00110 [d];file:../../DjVu/Haller-11.djvu?djvuopts=&highlight=102,244,49,86&page=1;qbardes&ra+^ Haller-11.djvu p 1 x 110 y 251 h 36 w 54;※ 0_Haller-11_PT04_174.djvu 00112 (112) new
qbardes&ra Haller-11 001:00112 [C]];file:../../DjVu/Haller-11.djvu?djvuopts=&highlight=154,248,44,73&page=1;qbardes&ra+^ Haller-11.djvu p 1 x 159 y 252 h 32 w 50;※ 0_Haller-11_PT04_174.djvu 00114 (114) new
qslstrok Haller-11 001:00114 [Cp];file:../../DjVu/Haller-11.djvu?djvuopts=&highlight=00204,00256,00046,00049&page=001;qslstrok+ Haller-11.djvu p 1 x 204 y 256 h 46 w 49;※ 0_Haller-11_PT04_174.djvu 00116 (116) new
q3app Haller-11 001:00115 [Cp];file:../../DjVu/Haller-11.djvu?djvuopts=&highlight=00260,00252,00047,00055&page=001;q3app+ Haller-11.djvu p 1 x 260 y 252 h 47 w 55;※ 0_Haller-11_PT04_174.djvu 00117 (117) new
q3app&ra Haller-11 001:00116 [CB];file:../../DjVu/Haller-11.djvu?djvuopts=&highlight=00320,00254,00049,00062&page=001;q3app&ra+ Haller-11.djvu p 1 x 320 y 254 h 49 w 62;※ 0_Haller-11_PT04_174.djvu 00118 (118) new
amp Haller-11 001:00138 [d];file:../../DjVu/Haller-11.djvu?djvuopts=&highlight=01041,00279,00056,00051&page=001;amp+ Haller-11.djvu p 1 x 1041 y 279 h 56 w 51;※ 0_Haller-11_PT04_174.djvu 00140 (140) new
Rtailstrok Haller-11 001:00139 [[rg];file:../../DjVu/Haller-11.djvu?djvuopts=&highlight=01111,00271,00046,00046&page=001;Rtailstrok+ Haller-11.djvu p 1 x 1111 y 271 h 46 w 46;※ 0_Haller-11_PT04_174.djvu 00141 (141) new
usmod Haller-11 001:00140 [()];file:../../DjVu/Haller-11.djvu?djvuopts=&highlight=1169,278,33,55&page=1;usmod+# Haller-11.djvu p 1 x 1174 y 308 h 24 w 26;※ 0_Haller-11_PT04_174.djvu 00142 (142) new
vacute Haller-11 001:00141 [Y)];file:../../DjVu/Haller-11.djvu?djvuopts=&highlight=01216,00273,00043,00057&page=001;vacute+ Haller-11.djvu p 1 x 1216 y 273 h 43 w 57;※ 0_Haller-11_PT04_174.djvu 00143 (143) new
