Hochfeder-03 001:00055 [h];file:../../DjVu/Hochfeder-03.djvu?djvuopts=&highlight=01422,00379,00049,00080&page=001;+ Hochfeder-03.djvu p 1 x 1422 y 379 h 49 w 80;※ 0_Hochfeder-03_PT01_021.djvu 00057 (57) new
Hochfeder-03 001:00056 [h];file:../../DjVu/Hochfeder-03.djvu?djvuopts=&highlight=1482,359,58,110&page=1;+ Hochfeder-03.djvu p 1 x 1487 y 408 h 79 w 51;※ 0_Hochfeder-03_PT01_021.djvu 00058 (58) add
Hochfeder-03 001:00057 [I];file:../../DjVu/Hochfeder-03.djvu?djvuopts=&highlight=1548,365,68,102&page=1;+ Hochfeder-03.djvu p 1 x 1555 y 381 h 53 w 74;※ 0_Hochfeder-03_PT01_021.djvu 00059 (59) new
Hochfeder-03 001:00113 [(b];file:../../DjVu/Hochfeder-03.djvu?djvuopts=&highlight=01736,00258,00078,00080&page=001;+ Hochfeder-03.djvu p 1 x 1736 y 258 h 78 w 80;※ 0_Hochfeder-03_PT01_021.djvu 00115 (115) new
Hochfeder-04 001:00021 [D];file:../../DjVu/Hochfeder-04.djvu?djvuopts=&highlight=00331,00327,00036,00061&page=001;+ Hochfeder-04.djvu p 1 x 331 y 327 h 36 w 61;※ 0_Hochfeder-04_PT01_022.djvu 00023 (23) new
Hochfeder-04 001:00028 [b];file:../../DjVu/Hochfeder-04.djvu?djvuopts=&highlight=00630,00314,00039,00068&page=001;+ Hochfeder-04.djvu p 1 x 630 y 314 h 39 w 68;※ 0_Hochfeder-04_PT01_022.djvu 00030 (30) new
Hochfeder-04 001:00029 [b];file:../../DjVu/Hochfeder-04.djvu?djvuopts=&highlight=689,317,45,80&page=1;+ Hochfeder-04.djvu p 1 x 690 y 326 h 40 w 62;※ 0_Hochfeder-04_PT01_022.djvu 00031 (31) new
Hochfeder-05 001:00036 [5];file:../../DjVu/Hochfeder-05.djvu?djvuopts=&highlight=00380,00413,00083,00121&page=001;+ Hochfeder-05.djvu p 1 x 380 y 413 h 83 w 121;※ 0_Hochfeder-05_PT01_023.djvu 00038 (38) new
Hochfeder-05 001:00044 [B];file:../../DjVu/Hochfeder-05.djvu?djvuopts=&highlight=00941,00426,00073,00117&page=001;+ Hochfeder-05.djvu p 1 x 941 y 426 h 73 w 117;※ 0_Hochfeder-05_PT01_023.djvu 00046 (46) new
Hochfeder-05 001:00057 [P»,];file:../../DjVu/Hochfeder-05.djvu?djvuopts=&highlight=02064,00427,00084,00126&page=001;+ Hochfeder-05.djvu p 1 x 2064 y 427 h 84 w 126;※ 0_Hochfeder-05_PT01_023.djvu 00059 (59) new
Hochfeder-05 001:00058 [b];file:../../DjVu/Hochfeder-05.djvu?djvuopts=&highlight=02173,00431,00086,00141&page=001;+ Hochfeder-05.djvu p 1 x 2173 y 431 h 86 w 141;※ 0_Hochfeder-05_PT01_023.djvu 00060 (60) new
Hochfeder-05 001:00059 [a.];file:../../DjVu/Hochfeder-05.djvu?djvuopts=&highlight=02282,00438,00089,00124&page=001;+ Hochfeder-05.djvu p 1 x 2282 y 438 h 89 w 124;※ 0_Hochfeder-05_PT01_023.djvu 00061 (61) new
Hochfeder-05 001:00118 [(b];file:../../DjVu/Hochfeder-05.djvu?djvuopts=&highlight=02065,00247,00117,00128&page=001;+ Hochfeder-05.djvu p 1 x 2065 y 247 h 117 w 128;※ 0_Hochfeder-05_PT01_023.djvu 00120 (120) new
Hochfeder-06 001:00039 [B];file:../../DjVu/Hochfeder-06.djvu?djvuopts=&highlight=00322,00238,00079,00123&page=001;+ Hochfeder-06.djvu p 1 x 322 y 238 h 79 w 123;※ 0_Hochfeder-06_PT01_024.djvu 00041 (41) new
Hochfeder-06 001:00047 [Ó];file:../../DjVu/Hochfeder-06.djvu?djvuopts=&highlight=00783,00245,00076,00116&page=001;+ Hochfeder-06.djvu p 1 x 783 y 245 h 76 w 116;※ 0_Hochfeder-06_PT01_024.djvu 00049 (49) new
Hochfeder-06 001:00060 [b];file:../../DjVu/Hochfeder-06.djvu?djvuopts=&highlight=01628,00246,00074,00115&page=001;+ Hochfeder-06.djvu p 1 x 1628 y 246 h 74 w 115;※ 0_Hochfeder-06_PT01_024.djvu 00062 (62) new
Hochfeder-06 001:00061 [I$];file:../../DjVu/Hochfeder-06.djvu?djvuopts=&highlight=01711,00249,00084,00120&page=001;+ Hochfeder-06.djvu p 1 x 1711 y 249 h 84 w 120;※ 0_Hochfeder-06_PT01_024.djvu 00063 (63) new
Hochfeder-06 001:00118 [ÍD];file:../../DjVu/Hochfeder-06.djvu?djvuopts=&highlight=01405,00069,00117,00111&page=001;+ Hochfeder-06.djvu p 1 x 1405 y 69 h 117 w 111;※ 0_Hochfeder-06_PT01_024.djvu 00120 (120) new
Hochfeder-07 001:00033 [b];file:../../DjVu/Hochfeder-07.djvu?djvuopts=&highlight=339,192,53,92&page=1;+ Hochfeder-07.djvu p 1 x 348 y 233 h 63 w 41;※ 0_Hochfeder-07_PT01_024.djvu 00035 (35) add
Hochfeder-07 001:00057 [)J];file:../../DjVu/Hochfeder-07.djvu?djvuopts=&highlight=1231,200,56,103&page=1;+ Hochfeder-07.djvu p 1 x 1253 y 218 h 26 w 46;※ 0_Hochfeder-07_PT01_024.djvu 00059 (59) new
Hochfeder-07 001:00058 [|».];file:../../DjVu/Hochfeder-07.djvu?djvuopts=&highlight=01288,00218,00044,00070&page=001;+ Hochfeder-07.djvu p 1 x 1288 y 218 h 44 w 70;※ 0_Hochfeder-07_PT01_024.djvu 00060 (60) new
Hochfeder-07 001:00059 [|».];file:../../DjVu/Hochfeder-07.djvu?djvuopts=&highlight=1334,206,60,83&page=1;+ Hochfeder-07.djvu p 1 x 1342 y 237 h 60 w 44;※ 0_Hochfeder-07_PT01_024.djvu 00061 (61) add
Hochfeder-07 001:00114 [(b];file:../../DjVu/Hochfeder-07.djvu?djvuopts=&highlight=01303,00125,00062,00063&page=001;+ Hochfeder-07.djvu p 1 x 1303 y 125 h 62 w 63;※ 0_Hochfeder-07_PT01_024.djvu 00116 (116) new
